rows,first_filter,second_filter,join,third_filter,distinct,distinct_sort,count,total
100,0.000082,0.000023,0.000202,0.000193,0.000056,0.000011,0.000500,0.001067
200,0.000052,0.000043,0.000889,0.001068,0.000261,0.000070,0.002052,0.004435
300,0.000069,0.000099,0.002796,0.002251,0.000785,0.000158,0.005215,0.011373
400,0.000137,0.000087,0.004658,0.004432,0.001329,0.000320,0.009315,0.020278
500,0.000117,0.000165,0.008016,0.006911,0.002287,0.000572,0.015210,0.033278
600,0.000171,0.000165,0.010722,0.010652,0.003166,0.001107,0.021710,0.047693
700,0.000221,0.000189,0.015294,0.015834,0.004395,0.001688,0.031537,0.069158
800,0.000253,0.000208,0.019926,0.025217,0.007245,0.002599,0.045603,0.100051
900,0.000242,0.000230,0.024437,0.029194,0.007845,0.003382,0.054103,0.119433
1000,0.000356,0.000375,0.030787,0.038712,0.010238,0.004559,0.070229,0.155256
1100,0.000417,0.000345,0.037513,0.047312,0.013120,0.005452,0.085587,0.189746
1200,0.000322,0.000348,0.045179,0.056005,0.015276,0.006536,0.101854,0.225520
1300,0.000409,0.000893,0.064023,0.065290,0.018138,0.007649,0.130615,0.287017
1400,0.000453,0.000913,0.071954,0.075390,0.020893,0.008980,0.148711,0.326294
1500,0.000499,0.000985,0.081916,0.085978,0.023609,0.010504,0.169378,0.372869
1600,0.000492,0.001244,0.089469,0.097717,0.027610,0.012322,0.188923,0.417777
1700,0.000511,0.001073,0.101969,0.110158,0.030478,0.013211,0.213710,0.470110
1800,0.001310,0.000533,0.111371,0.125833,0.034825,0.015904,0.239047,0.528823
1900,0.001027,0.000652,0.148504,0.138217,0.038876,0.017259,0.288399,0.634934
2000,0.001250,0.000527,0.158243,0.156404,0.044535,0.018895,0.316423,0.696277
4000,.001101,.001582,1.681223,.267056,.981922,.353511,.237012,2.932886
6000,.002194,.002131,4.366563,.612432,2.222171,.816257,.547416,7.205492
8000,.002743,.002714,7.537886,1.088648,4.032607,1.517515,1.001425,12.664599
10000,.003288,.003688,11.782018,1.720538,6.294488,2.400624,1.556393,19.804021
20000,.006757,.006666,48.153988,7.217930,26.182985,10.341363,6.612892,81.568328
40000,.021448,.013619,231.729975,29.074221,111.776221,44.477682,29.871034,372.615486
60000,0.039291,0.020771,499.716352,65.630270,260.805868,103.041220,73.370072.826.212552
80000,.047001,.058273,996.374940,120.974638,487.181513,191.692385,142.272877,1604.636367
100000,0.062528,0.074553,1827.483116,202.337584,894.533607,330.692799,287.800105,2924.491389
