rows,first_filter,second_filter,join,third_filter,distinct,distinct_sort,count,total
1000,.000265,.000280,.052339,.014455,.041958,.015532,.007198,.109299
2000,.001075,.000556,.302610,.061691,.222326,.077274,.051509,.588259
4000,.001101,.001582,1.681223,.267056,.981922,.353511,.237012,2.932886
6000,.002194,.002131,4.366563,.612432,2.222171,.816257,.547416,7.205492
8000,.002743,.002714,7.537886,1.088648,4.032607,1.517515,1.001425,12.664599
10000,.003288,.003688,11.782018,1.720538,6.294488,2.400624,1.556393,19.804021
20000,.006757,.006666,48.153988,7.217930,26.182985,10.341363,6.612892,81.568328
40000,.021448,.013619,231.729975,29.074221,111.776221,44.477682,29.871034,372.615486
60000,0.039291,0.020771,499.716352,65.630270,260.805868,103.041220,73.370072.826.212552
80000,.047001,.058273,996.374940,120.974638,487.181513,191.692385,142.272877,1604.636367
100000,0.062528,0.074553,1827.483116,202.337584,894.533607,330.692799,287.800105,2924.491389
