rows,first_filter,second_filter,join,third_filter,distinct,distinct_sort,count,total
50,.000019,.000013,.001118,.000354,.000600,.000138,.000059,.002105
100,.000079,.000023,.005198,.001549,.002591,.000712,.000299,.009441
150,.000036,.000035,.012165,.003317,.005501,.001559,.000657,.021057
200,.000051,.000044,.021892,.006014,.010271,.003238,.001472,.038273
250,.000064,.000094,.034213,.009381,.017820,.006430,.003154,.061574
300,.000074,.000107,.058947,.013073,.024781,.008962,.004333,.096984
350,.000121,.000077,.077035,.017467,.035417,.012983,.006681,.130118
400,.000132,.000085,.092463,.021990,.047390,.018296,.009430,.162061
450,.000147,.000133,.138589,.027909,.063793,.025512,.013364,.230573
500,.000119,.000153,.172187,.036321,.083290,.033058,.016825,.292072
