rows,first_filter,sort,partition_by,join,distinct,distinct_sort,total
100,.000024,.000078,.000037,.000271,.000028,.000004,.000360
200,.000129,.000069,.000097,.000939,.000037,.000009,.001202
300,.000063,.000086,.000095,.001899,.000052,.000015,.002110
400,.000116,.000196,.000179,.003505,.000066,.000018,.003866
500,.000158,.000143,.000164,.005385,.000047,.000013,.005754
600,.000183,.000212,.000210,.007789,.000044,.000011,.008224
700,.000196,.000247,.000241,.010769,.000038,.000010,.011244
800,.000286,.000312,.000291,.013312,.000041,.000010,.013930
900,.000268,.000279,.000289,.016730,.000031,.000007,.017318
1000,.000262,.000310,.000323,.020864,.000042,.000010,.021492
1100,.000282,.000354,.000352,.025682,.000030,.000006,.026345
1200,.000356,.000371,.000375,.029987,.000040,.000009,.030758
1300,.000397,.000562,.000572,.035591,.000031,.000006,.036592
1400,.000518,.000647,.000484,.040449,.000021,.000005,.041472
1500,.000399,.000537,.000516,.047336,.000021,.000005,.048272
1600,.000553,.000705,.000589,.052867,.000022,.000005,.054031
1700,.000440,.000555,.000561,.059708,.000021,.000004,.060729
1800,.000464,.001293,.000681,.067322,.000037,.000005,.068504
1900,.000516,.001031,.000706,.078847,.000020,.000005,.080089
2000,.000691,.001309,.000709,.083162,.000013,.000004,.084575
4000,.002607,.002409,.002425,.477439,.000011,.000003,.482483
6000,.002700,.004586,.003994,1.136145,.000014,.000004,1.142854
8000,.004053,.005332,.005460,1.883516,.000019,.000007,1.893049
10000,.005155,.007741,.007110,3.232420,.000015,.000005,3.244701
20000,.010467,.016554,.015916,11.625629,.000018,.000005,11.652032
40000,.020813,.056438,.035338,54.778977,.000017,.000004,54.835147
60000,.040893,.068583,.046997,113.505611,.000014,.000004,113.593517
80000,.039018,.071316,.052017,157.354767,.000010,.000003,157.445814
100000,.059250,.074401,.070274,275.404161,.000013,.000004,275.533701
200000,0.148901,0.172084,0.146218,1095.570013,0.000014,0.000003,1095.865145
