Running performance test for plain query: cdiff on c06
Generating test data...
rows,first_filter,sort,partition_by,join,distinct,distinct_sort,total
1000,.000434,.000519,.000533,.031353,.000106,.000031,.032428
2000,.000891,.001829,.001092,.125742,.000035,.000010,.127761
4000,.002607,.002409,.002425,.477439,.000011,.000003,.482483
6000,.002700,.004586,.003994,1.136145,.000014,.000004,1.142854
8000,.004053,.005332,.005460,1.883516,.000019,.000007,1.893049
10000,.005155,.007741,.007110,3.232420,.000015,.000005,3.244701
20000,.010467,.016554,.015916,11.625629,.000018,.000005,11.652032
40000,.020813,.056438,.035338,54.778977,.000017,.000004,54.835147
60000,.040893,.068583,.046997,113.505611,.000014,.000004,113.593517
80000,.039018,.071316,.052017,157.354767,.000010,.000003,157.445814
100000,.059250,.074401,.070274,275.404161,.000013,.000004,275.533701
200000,.152420,.163976,.147425,1270.505639,.000015,.000004,1270.805500
