rows,group_by,order_by,limit,total
100,.000069,.000082,0,.000151
200,.000190,.000067,0,.000258
300,.000261,.000574,.000001,.000836
400,.000736,.000133,.000001,.000870
500,.000823,.000206,.000001,.001031
600,.000902,.000184,.000001,.001086
700,.001018,.000265,.000001,.001283
800,.001249,.000444,.000001,.001694
900,.001252,.000325,.000001,.001578
1000,.001291,.000491,.000001,.001783
1100,.000933,.000388,.000001,.001322
1200,.001090,.000584,.000001,.001676
1300,.001080,.000543,.000001,.001623
1400,.001185,.000537,.000001,.001723
1500,.001287,.000627,.000001,.001915
1600,.001476,.000620,.000001,.002097
1700,.001508,.000623,.000001,.002131
1800,.001431,.000634,.000001,.002066
1900,.001507,.000792,.000001,.002301
2000,.001682,.000981,.000001,.002665
4000,.004619,.001701,.000001,.006321
6000,.006516,.003066,.000002,.009585
8000,.008819,.004142,.000003,.012963
10000,.011520,.005276,.000002,.016798
20000,.028395,.024055,.000005,.052455
40000,.083337,.031267,.000005,.114609
60000,.146886,.047717,.000007,.194610
80000,.176673,.114862,.000005,.291540
100000,.258976,.153915,.000005,.412896
200000,.555295,.420071,.000006,.975372
400000,1.345571,.939488,.000006,2.285065
600000,2.404632,1.467726,.000009,3.872367
800000,3.132849,1.905839,.000009,5.038697
1000000,3.475082,2.353655,.000006,5.828743
