1000, .000366
2000, .000655
4000, .001221
6000, .001859
8000, .002431
10000, .003014
20000, .005881
40000, .011887
60000, .017617
80000, .024018
100000, .030821
200000, .060132
400000, .126547
600000, .193601
800000, .274470
1000000, .345114
rows,total_time,group_by,order_by,limit
1000,.002006,.001342,.000662,.000001
2000,.004353,.002978,.001374,.000001
4000,.009771,.006959,.002810,.000001
6000,.013733,.009237,.004495,.000001
8000,.018907,.013008,.005897,.000001
rows,total_time,group_by,order_by,limit
1000,.001924,.001290,.000633,.000001
2000,.004471,.003077,.001391,.000001
4000,.008726,.006211,.002513,.000001
6000,.013911,.009298,.004612,.000001
8000,.017848,.012141,.005705,.000001
10000,.022849,.016063,.006783,.000001
20000,.054969,.031426,.023540,.000002
40000,.108011,.076248,.031758,.000003
60000,.198545,.145779,.052761,.000004
80000,.305190,.186767,.118417,.000005
100000,.427015,.267531,.159478,.000005
200000,1.014572,.585310,.429255,.000005
400000,2.368350,1.413990,.954352,.000006
600000,3.712733,2.216656,1.496071,.000005
800000,4.847729,2.921143,1.926579,.000006
1000000,6.076567,3.670500,2.406058,.000007
