rows,total,data_sent,round,global_data_sent
1000,52.289000,7.806540,479132,23.211600
2000,124.001000,18.623900,1142604,55.455700
4000,300.324000,43.871300,2690732,130.782000
6000,696.890000,100.730000,6174220,300.941000
8000,685.184000,102.194000,6266220,304.917000
10000,1556.670000,231.305000,14173388,691.836000
20000,3645.590000,530.048000,32475564,1585.980000
40000,8126.230000,1204.600000,73798508,3605.490000
60000,8257.790000,1219.240000,74718508,3645.250000
80000,18948.800000,2717.490000,166471404,8135.820000
100000,18576.500000,2732.130000,167391404,8175.580000
200000,42651.600000,6119.350000,374890860,18316.500000
