rows,union_all,first_filter,second_filter,join,third_filter,distinct,distinct_sort,count,total
100,0.000001,0.000123,0.000054,0.001817,0.001225,0.000360,0.000074,0.003221,0.006875
200,0.000002,0.000114,0.000729,0.005772,0.005045,0.001499,0.000410,0.011662,0.025233
300,0.000003,0.000782,0.000230,0.013181,0.013601,0.003831,0.001245,0.027796,0.060669
400,0.000003,0.000772,0.000278,0.022669,0.027083,0.007303,0.002824,0.050805,0.111737
500,0.000003,0.000986,0.000348,0.035596,0.045921,0.012764,0.004831,0.082854,0.183303
600,0.000004,0.000415,0.000435,0.053768,0.068092,0.018439,0.007377,0.122713,0.271243
700,0.000004,0.000471,0.000448,0.083853,0.090376,0.025139,0.010056,0.175153,0.385500
800,0.000005,0.000612,0.000540,0.106079,0.124177,0.035755,0.013472,0.231412,0.511052
900,0.000005,0.000645,0.000672,0.135954,0.155600,0.043442,0.018297,0.292876,0.647491
1000,0.000006,0.000763,0.000736,0.197945,0.195693,0.056059,0.021728,0.395143,0.868073
1100,0.000010,0.000811,0.000757,0.240891,0.249209,0.071132,0.028233,0.491677,1.082720
1200,0.000008,0.000931,0.000832,0.314998,0.275631,0.078001,0.031491,0.592399,1.294291
1300,0.000018,0.000918,0.001023,0.359331,0.396947,0.112358,0.037912,0.758238,1.666745
1400,0.000018,0.001008,0.001049,0.474213,0.381674,0.108967,0.043626,0.857961,1.868516
1500,0.000010,0.001017,0.000954,0.591656,0.458905,0.132076,0.049928,1.052541,2.287087
1600,0.000012,0.001147,0.001925,0.714732,0.479870,0.140642,0.055251,1.197685,2.591264
1700,0.000012,0.001148,0.001744,0.809981,0.584996,0.148015,0.070367,1.397880,3.014143
1800,0.000014,0.001053,0.001689,0.806274,0.635256,0.169491,0.073905,1.444287,3.131969
1900,0.000014,0.001364,0.001812,1.034727,0.884932,0.238975,0.183920,1.922849,4.268593
2000,0.000016,0.001426,0.002046,1.166697,0.846216,0.228124,0.095665,2.016401,4.356591
4000,.000052,.002683,.002622,7.405992,7.802567,4.798688,1.541751,.609028,20.012605
6000,.000067,.003847,.004157,18.422576,18.972265,11.375040,3.655252,1.416025,48.777956
8000,.000102,.005539,.005360,30.905072,31.610467,20.948838,6.696432,2.583469,83.475381
10000,.000111,.006684,.006999,48.616595,49.186458,33.260712,10.569434,4.188115,131.077561
20000,.000254,.021407,.013463,228.654419,221.958497,157.757186,47.795293,22.118059,608.405227
40000,.000522,.028152,.045493,1037.262561,974.668030,793.596000,231.838732,128.168613,2805.600759
