rows,union_all,group_by,group_by_sort,order_by,limit,total
100,.000001,.000180,.000100,.000067,0,.000248
200,.000001,.000697,.000118,.000130,.000001,.000829
300,.000002,.000898,.000608,.000177,.000001,.001078
400,.000002,.000999,.000673,.000314,.000001,.001316
500,.000003,.001195,.000744,.000508,.000001,.001707
600,.000004,.000947,.000426,.000423,.000001,.001374
700,.000003,.001133,.000478,.000628,.000001,.001765
800,.000003,.001282,.000544,.000563,.000001,.001848
900,.000004,.001849,.000850,.000630,.000001,.002483
1000,.000007,.001973,.000931,.000688,.000001,.002669
1100,.000007,.001884,.000788,.001095,.000001,.002987
1200,.000009,.002220,.001000,.000889,.000001,.003119
1300,.000017,.002607,.001250,.001560,.000001,.004186
1400,.000014,.002407,.001021,.001878,.000001,.004300
1500,.000007,.002896,.001037,.001405,.000001,.004308
1600,.000007,.003011,.001094,.001521,.000001,.004540
1700,.000007,.003566,.001410,.001344,.000001,.004918
1800,.000010,.003847,.001276,.001273,.000001,.005131
1900,.000009,.004043,.001711,.001691,.000001,.005744
2000,.000010,.004143,.001705,.001826,.000001,.005980
4000,.000085,.013217,.005956,.006128,.000001,.019432
6000,.000125,.021112,.009302,.007727,.000001,.028966
8000,.000145,.023993,.010560,.010539,.000001,.034680
10000,.000190,.030927,.014065,.025023,.000002,.056142
20000,.000343,.075177,.032895,.031511,.000004,.107036
40000,.000684,.185827,.062249,.114698,.000005,.301215
60000,.001141,.316038,.115623,.258069,.000005,.575254
80000,.001617,.506434,.162070,.246599,.000006,.754657
100000,.001927,.592982,.186971,.417555,.000005,1.012470
200000,.004151,1.418563,.405181,.914196,.000007,2.336917
400000,.008764,2.973922,.874551,1.853552,.000007,4.836247
600000,.013124,4.632089,1.352995,2.905727,.000006,7.550947
800000,.017838,6.126452,1.860980,3.757463,.000006,9.901761
1000000,.022086,7.638832,2.329840,4.654193,.000007,12.315120
