rows,union_all,group_by,group_by_sort,order_by,limit,total
1000,.000006,.002595,.001068,.001161,.000001,.003764
2000,.000019,.007261,.002856,.002782,.000002,.010065
4000,.000085,.013217,.005956,.006128,.000001,.019432
6000,.000125,.021112,.009302,.007727,.000001,.028966
8000,.000145,.023993,.010560,.010539,.000001,.034680
10000,.000190,.030927,.014065,.025023,.000002,.056142
20000,.000343,.075177,.032895,.031511,.000004,.107036
40000,.000684,.185827,.062249,.114698,.000005,.301215
60000,.001141,.316038,.115623,.258069,.000005,.575254
80000,.001617,.506434,.162070,.246599,.000006,.754657
100000,.001927,.592982,.186971,.417555,.000005,1.012470
200000,.004151,1.418563,.405181,.914196,.000007,2.336917
400000,.008764,2.973922,.874551,1.853552,.000007,4.836247
600000,.013124,4.632089,1.352995,2.905727,.000006,7.550947
800000,.017838,6.126452,1.860980,3.757463,.000006,9.901761
1000000,.022086,7.638832,2.329840,4.654193,.000007,12.315120
